# Attach there is a file with the values of the sky in mag/arcsec^2, 
# the FWHM (arcsec) of the moffat PSF and the beta value for the three bands. The
# order of the band is always g,r,i. The SDSS plate scale is 0.396127 ASEC/PIX
#
#galaxy	       skyg            skyr            skyi           fwhmg        fwhmr        fwhmi        betag        betar        betai
NGC0962       21.974475       20.901202       20.245596      1.29096      1.08504      1.04544      3.88000      3.28000      5.67000
NGC0962       21.974475       20.901202       20.245596      1.29096      1.08504      1.04544      3.88000      3.28000      5.67000
NGC0976       22.097531       21.125197       20.344257      1.12385     0.937728     0.856944      8.51800      8.13200      7.90400
NGC0991       21.639081       20.473004       19.717332      1.52064      1.48500      1.65924      5.00000      4.30000      5.20000
UGC02099       22.073596       21.136316       20.333278      1.05336     0.958320     0.788040      6.40000      7.00000      5.80000
UGC02099       22.073596       21.136316       20.333278      1.05336     0.958320     0.788040      6.40000      7.00000      5.80000
UGC02134       21.939345       20.888672       20.259335      1.25294      1.21414      1.10484      4.63800      5.43200      4.06600
NGC1026       21.809662       20.649717       20.105347      1.03356     0.914760     0.752400      2.52000      5.19000      5.07000
NGC1060       21.946066       20.836949       20.142676      1.23156      1.08900      1.15236      6.41000      4.79000      4.32000
NGC1060       21.946066       20.836949       20.142676      1.23156      1.08900      1.15236      6.41000      4.79000      4.32000
NGC1070       22.149492       20.973501       20.084742      1.11355     0.993960     0.891792      3.35800      5.24400      6.34800
UGC02222       21.987229       20.715518       20.136617      1.23156      1.08900      1.10484      6.41000      4.79000      4.60000
UGC02229       21.907396       21.123409       20.382905      1.12464      1.03356      1.12068      11.4000      6.40000      3.89000
NGC1094       21.905043       21.078783       20.364975      1.10880     0.950400     0.871200      4.30000      4.50000      3.50000
NGC1093       22.015646       20.893437       20.220732      1.04544     0.966240      1.02168      5.35000      4.12000      3.85000
UGC02311       21.620808       20.646790       20.106977      1.22998      1.07791     0.979704      3.69200      3.54200      5.85400
NGC1132       22.046942       20.886353       20.109583      1.06128      1.64340      1.71864      6.67000      5.44000      6.60000
NGC1132       22.046942       20.886353       20.109583      1.06128      1.64340      1.71864      6.67000      5.44000      6.60000
UGC02367       21.788903       20.602294       20.077036      1.01772     0.847440     0.704880      5.50000      6.20000      3.90000
UGC02403       21.624041       20.633751       20.071803      1.10880      1.18800      1.00188      5.27000      4.33000      4.82000
UGC02405       21.801183       20.607659       20.076404     0.950400      1.78200      1.10880      6.50000      5.00000      6.00000
UGC02443       22.151838       21.111963       20.599327      1.38600      1.14840      1.05336      5.00000      6.00000      5.60000
NGC1167       21.988679       20.891729       20.206079      1.24344      1.28700      1.29492      3.85000      8.31000      6.15000
NGC1167       21.988679       20.891729       20.206079      1.24344      1.28700      1.29492      3.85000      8.31000      6.15000
NGC1211       21.896213       21.114742       20.362877      1.06128      1.06920      1.06920      5.60000      5.20000      8.20000
MCG-01-09-006       21.672083       20.484450       19.693576      1.21730      1.17850      1.02960      8.33000      9.59400      7.02800
IC0307       21.885862       21.093190       20.396586      1.10484     0.946440     0.938520      4.80000      5.40000      5.10000
UGC02690       21.908712       21.120349       20.394545      1.08900      1.06920      1.08900      4.00000      8.00000      9.70000
NGC1324       21.676601       20.562921       19.827541      1.31710      1.52460      1.54598      4.72200      6.66400      5.22000
NGC1349       22.116045       21.110346       20.350829      1.64340      1.64340      1.23552      4.10000      4.29000      2.59000
NGC1361       21.694535       20.555447       19.798300      1.21176      1.15236      1.12464      8.60000      5.80000      12.8000
MCG-01-10-015       20.854221       20.565952       19.813060      1.18800      1.42560      1.52460      3.70000      5.10000      4.50000
MCG-01-10-019       21.822344       20.706310       19.848383      1.23394      1.07395      1.01178      3.89200      6.94000      5.76250
NGC1645       22.206093       20.991691       20.324737      1.56420      1.24344      1.05732      4.49000      3.76000      3.52000
NGC1659       22.214928       21.001939       20.335376      1.20780      1.24740      1.28700      4.40000      4.10000      3.90000
NGC1665       22.198113       20.975292       20.333444      1.51668      1.28304      1.53252      3.58000      4.23000      3.81000
NGC1666       22.206172       21.162387       20.543286      1.04544     0.958320     0.819720      5.68000      4.55000      4.05000
NGC1667       22.200340       20.984021       20.345060      1.21889      1.35274      1.20859      5.15400      4.08600      3.92600
NGC1677       22.220996       21.192454       20.555978     0.990000     0.914760     0.914760      4.20000      6.10000      6.10000
UGC03253       21.954425       20.638176       19.710878      1.24740      1.16820      1.38600      2.55000      3.50000      4.00000
NGC2253       22.275486       21.062935       20.280038     0.988416     0.902880     0.768240      7.12000      4.67600      4.17600
NGC2347       22.166451       20.894307       20.255177     0.894168      1.02326      1.09217      4.03400      5.60400      6.46400
NGC2410       21.997900       21.049354       20.350875      1.34086      1.15078      1.08029      4.58200      3.39600      3.15200
UGC03944       21.023129       20.706239       20.251454      1.30680      1.22760      1.14840      4.66000      2.94000      4.13000
UGC03973       21.974551       21.051145       20.443981      1.22285     0.795960     0.798336      7.09200      8.14200      8.24200
UGC03995       21.862126       20.938874       20.291477      1.29175      1.18325      1.13731      3.18000      2.56600      2.48800
NGC2449       21.663257       20.644474       20.062226      1.31868      1.10484      1.21572      4.03000      2.37000      2.83000
NGC2476       21.462192       20.557468       20.043642      1.10880      1.34244      1.14840      4.46000      4.15000      5.57000
NGC2486       21.823510       20.518939       19.652521      1.14048     0.898920     0.879120      5.30000      4.44000      5.41000
NGC2487       21.825063       20.520972       19.656093      1.16345     0.891000     0.910008      9.26000      5.96800      6.53000
