# name                    u        g_2      r        i        z       
  UGC04375                16.008   14.348   12.801   12.423   12.336  
  IC2341                  15.862   14.107   13.324   12.926   12.683  
  NGC2592                 15.079   13.111   12.265   11.809   11.525  
  NGC2596                 16.063   14.117   13.414   12.971   13.047  
  NGC2595                 24.397   13.735   12.934   12.639   12.538  
  UGC04461                15.59    14.181   13.706   13.45    13.496  
  NGC2604                 15.23    13.7     13.279   13.174   13.48   
  NGC2639                 14.43    12.486   11.664   11.234   10.947  
  NGC2730                 15.409   13.898   13.457   13.343   13.591  
  NGC2805                 15.628   13.92    13.267   12.93    13.02   
  NGC2880                 14.452   12.513   11.717   11.327   11.087  
  NGC2906                 15.302   13.059   12.231   11.803   11.619  
  NGC2916                 14.875   13.198   12.634   12.321   11.976  
  UGC05108                16.161   14.43    13.677   13.28    13.014  
  NGC2918                 15.416   13.45    12.62    12.193   11.944  
  UGC05358                16.632   15.345   14.777   14.674   15.043  
  UGC05359                16.397   14.75    14.107   13.759   13.611  
  UGC05396                16.534   14.498   13.901   13.57    13.706  
  NGC3106                 15.708   13.492   12.688   12.321   12.213  
  NGC3057                 15.734   14.049   13.707   13.637   14.488  
  NGC3158                 15.375   13.094   12.24    11.773   11.549  
  UGC05520                15.781   14.314   13.649   13.51    13.846  
  NGC3182                 14.933   13.073   12.371   11.973   11.903  
  NGC3300                 15.28    13.17    12.361   11.961   11.774  
  UGC05771                16.027   14.142   13.269   12.83    12.577  
  NGC3381                 14.717   13.273   12.827   12.674   13.002  
  IC0674                  16.021   14.187   13.423   13.04    12.832  
  UGC06312                16.257   14.365   13.491   13.039   12.789  
  NGC3615                 15.55    13.447   12.612   12.2     11.945  
  NGC3614                 15.373   13.503   12.822   12.49    12.624  
  NGC3687                 15.011   13.112   12.546   12.22    12.387  
  NGC3811                 14.947   13.202   12.605   12.233   12.152  
  NGC3815                 15.187   13.684   13.072   12.737   12.624  
  NGC3994                 14.593   13.328   12.699   12.377   12.115  
  NGC4003                 15.994   14.103   13.247   12.825   12.625  
  UGC07012                15.531   14.431   14.055   13.867   14.044  
  NGC4047                 14.346   12.772   12.178   11.837   11.74   
  UGC07145                16.47    14.671   14.042   13.734   13.739  
  NGC4185                 15.711   13.26    12.554   12.251   12.336  
  NGC4210                 15.185   13.262   12.63    12.289   12.278  
  IC0776                  16.299   14.852   14.308   14.311   15.746  
  NGC4470                 14.022   12.9     12.464   12.233   12.213  
  NGC4644                 16.04    14.355   13.637   13.265   13.06   
  NGC4711                 15.597   13.82    13.218   12.901   12.831  
  UGC08004                16.738   14.907   14.407   14.242   14.462  
  NGC4816                 15.815   13.74    12.905   12.516   12.375  
  NGC4956                 14.793   13.006   12.259   11.882   11.672  
  NGC4961                 14.769   13.557   13.181   13.0     13.067  
  UGC08231                15.755   14.549   14.175   14.115   14.574  
  UGC08234                15.315   13.599   12.928   12.591   12.393  
  NGC5000                 15.644   13.872   13.228   12.89    12.915  
  NGC5016                 14.347   12.979   12.443   12.171   12.102  
  NGC5029                 15.77    13.716   12.895   12.476   12.289  
  NGC5056                 15.295   13.701   13.197   12.979   13.056  
  NGC5157                 16.035   13.786   13.025   12.647   12.544  
  NGC5205                 15.209   13.428   12.775   12.486   12.437  
  NGC5198                 14.746   12.74    11.942   11.522   11.298  
  NGC5267                 15.479   13.633   12.879   12.468   12.268  
  NGC5289                 15.389   13.648   12.886   12.446   12.166  
  UGC08733                15.686   14.61    14.016   13.88    14.059  
  NGC5320                 15.47    13.275   12.655   12.299   12.321  
  IC0944                  16.162   13.931   13.09    12.593   12.343  
  UGC08781                15.962   13.936   13.195   12.834   12.68   
  NGC5376                 14.931   12.911   12.191   11.842   11.642  
  NGC5379                 15.804   13.922   13.22    12.844   12.735  
  NGC5378                 15.563   13.458   12.681   12.309   12.377  
  NGC5406                 15.205   13.121   12.37    11.941   11.923  
  NGC5443                 15.433   12.982   12.252   11.875   11.642  
  NGC5423                 15.866   13.722   12.876   12.464   12.193  
  NGC5473                 14.264   12.228   11.471   11.059   10.806  
